Trace_Name,FPGA_Ref,FPGA_Ball_Names,Connector_Ref,Connector_Pins
IL68_20.TB.G13.D6,U1J,U4,J3,318
IL68_20.TB.G13.D5_P,U1J,V6,J3,298
IL68_20.TB.G13.D5_N,U1J,V7,J3,299
IL68_20.TB.G13.D4_P,U1J,AB1,J3,288
IL68_20.TB.G13.D4_N,U1J,AC1,J3,289
IL68_20.TB.G13.D3_P,U1J,AE5,J3,285
IL68_20.TB.G13.D3_N,U1J,AE4,J3,286
IL68_20.TB.G13.D2_P,U1J,AD6,J3,292
IL68_20.TB.G13.D2_N,U1J,AE6,J3,293
IL68_20.TB.G13.D1_P,U1J,V1,J3,308
IL68_20.TB.G13.D1_N,U1J,W1,J3,309
IL68_20.TB.G13.D0_P,U1J,T1,J3,315
IL68_20.TB.G13.D0_N,U1J,U1,J3,316
IL68_20.TB.G13.C_P,U1J,AD1,J3,282
IL68_20.TB.G13.C_N,U1J,AE1,J3,283
IL68_20.TB.G8.D3_P,U1J,AG3,J3,312
IL68_20.TB.G8.D3_N,U1J,AH3,J3,313
IL68_20.TB.G8.D2_P,U1J,AL1,J3,302
IL68_20.TB.G8.D2_N,U1J,AM2,J3,303
IL68_20.TB.G8.D1_P,U1J,AJ1,J3,305
IL68_20.TB.G8.D1_N,U1J,AK1,J3,306
IL68_20.TB.G8.D0_P,U1J,AG1,J3,295
IL68_20.TB.G8.D0_N,U1J,AH1,J3,296
IL68_20.LR.VTT,C37N,2,C37J,2
IL68_20.LR.G3.S_P,U1J,AC3,J3,398
IL68_20.LR.G3.S_N,U1J,AB2,J3,399
IL68_20.LR.G3.D4_P,U1J,AC2,J3,383
IL68_20.LR.G3.D4_N,U1J,AE2,J3,382
IL68_20.LR.G3.D3_P,U1J,AD3,J3,393
IL68_20.LR.G3.D3_N,U1J,AE3,J3,392
IL68_20.LR.G3.D2_P,U1J,W2,J3,388
IL68_20.LR.G3.D2_N,U1J,Y1,J3,389
IL68_20.LR.G3.D1_P,U1J,AC5,J3,396
IL68_20.LR.G3.D1_N,U1J,AD4,J3,395
IL68_20.LR.G3.D0_P,U1J,AB3,J3,385
IL68_20.LR.G3.D0_N,U1J,AB4,J3,386
IL68_20.LR.G2.S_P,U1J,AB5,J3,378
IL68_20.LR.G2.S_N,U1J,AB6,J3,379
IL68_20.LR.G2.D4_P,U1J,AC7,J3,363
IL68_20.LR.G2.D4_N,U1J,AD7,J3,362
IL68_20.LR.G2.D3_P,U1J,AB7,J3,372
IL68_20.LR.G2.D3_N,U1J,AC6,J3,373
IL68_20.LR.G2.D2_P,U1J,Y4,J3,366
IL68_20.LR.G2.D2_N,U1J,W4,J3,365
IL68_20.LR.G2.D1_P,U1J,Y5,J3,368
IL68_20.LR.G2.D1_N,U1J,W5,J3,369
IL68_20.LR.G2.D0_P,U1J,Y7,J3,376
IL68_20.LR.G2.D0_N,U1J,Y6,J3,375
IL68_20.LR.G1.S_P,U1J,R1,J3,358
IL68_20.LR.G1.S_N,U1J,T2,J3,359
IL68_20.LR.G1.D4_P,U1J,W3,J3,345
IL68_20.LR.G1.D4_N,U1J,Y3,J3,346
IL68_20.LR.G1.D3_P,U1J,U2,J3,348
IL68_20.LR.G1.D3_N,U1J,U3,J3,349
IL68_20.LR.G1.D2_P,U1J,N1,J3,342
IL68_20.LR.G1.D2_N,U1J,P1,J3,343
IL68_20.LR.G1.D1_P,U1J,R3,J3,355
IL68_20.LR.G1.D1_N,U1J,T3,J3,356
IL68_20.LR.G1.D0_P,U1J,P2,J3,353
IL68_20.LR.G1.D0_N,U1J,P3,J3,352
IL68_20.LR.G0.S_P,U1J,R4,J3,338
IL68_20.LR.G0.S_N,U1J,T5,J3,339
IL68_20.LR.G0.D4_P,U1J,T4,J3,332
IL68_20.LR.G0.D4_N,U1J,U5,J3,333
IL68_20.LR.G0.D3_P,U1J,U6,J3,322
IL68_20.LR.G0.D3_N,U1J,U7,J3,323
IL68_20.LR.G0.D2_P,U1J,R6,J3,336
IL68_20.LR.G0.D2_N,U1J,T6,J3,335
IL68_20.LR.G0.D1_P,U1J,R7,J3,325
IL68_20.LR.G0.D1_N,U1J,T7,J3,326
IL68_20.LR.G0.D0_P,U1J,P5,J3,329
IL68_20.LR.G0.D0_N,U1J,P4,J3,328
